Body Part,Threshold,ROC AUC,Sensitivity,Specificity,Sensitivity CI,Specificity CI
Leg,0.11652275,"(0.9368575374080169, 0.9162453021039856, 0.9574697727120483)",0.8745247148288974,0.8631840796019901,"(0.8290236339138087, 0.9092424543868681)","(0.8474661870610092, 0.8775164045949281)"
Hand,0.082641847,"(0.887818596928186, 0.8666941941367792, 0.9089429997195928)",0.8127853881278538,0.81,"(0.7735919907150409, 0.8465399469517529)","(0.7857533415236956, 0.8320890076200168)"
Hip,0.0494724155,"(0.9541702741702741, 0.9176559191971556, 0.9906846291433926)",0.9047619047619048,0.8909090909090909,"(0.8073829893716311, 0.9556165157231079)","(0.8485380451915682, 0.9225094199497376)"
Shoulder,0.049026715,"(0.845987345987346, 0.7836498636030054, 0.9083248283716867)",0.7619047619047619,0.7377622377622378,"(0.6436433989030315, 0.8500621632170938)","(0.6838753982959891, 0.7853466396876599)"
