Subgroup,Threshold,ROC AUC,Sensitivity,Specificity,Sensitivity CI,Specificity CI
More than 10 years old,0.217609005,"(0.9053113446794476, 0.9002008751146138, 0.9104218142442815)",0.8314844162704702,0.8312930374904361,"(0.8228855841314164, 0.8397470788257948)","(0.8208992475466049, 0.8412003262391836)"
Less than 9 years old,0.089295247,"(0.9467063542839833, 0.9413684277449132, 0.9520442808230534)",0.8896103896103896,0.8886910062333037,"(0.8804058227986638, 0.8981884507999836)","(0.8689546208299308, 0.9057772575246745)"
Male,0.22397455,"(0.9079144667076415, 0.9028454804520477, 0.9129834529632354)",0.8391936777001489,0.8386219401631912,"(0.8313392922579311, 0.8467497180490372)","(0.8256959591168921, 0.8507626121296026)"
Female,0.165288475,"(0.9082816419474414, 0.9020067235228808, 0.9145565603720021)",0.8391782527495331,0.8390075014425851,"(0.8285365470147418, 0.8492796383009067)","(0.8263977642399728, 0.8508666087549541)"
Siemens,0.192315077,"(0.9099269861010706, 0.9060548609672063, 0.9137991112349348)",0.8421638468388246,0.8416679032497403,"(0.8359108603146744, 0.8482218149969832)","(0.8327578017457283, 0.8501887020573439)"
Agfa,0.427015645,"(0.8947368421052632, 0.8375414077655224, 0.9519322764450039)",0.8378378378378378,0.8157894736842105,"(0.7376018659372966, 0.9047293642002805)","(0.6658114192886859, 0.9077823481477872)"
Lateral Projection,0.25759189,"(0.8992002679212664, 0.8933945510385569, 0.9050059848039759)",0.8264009243212016,0.8259925558312655,"(0.8172990579757825, 0.8351408147994565)","(0.8125201568118874, 0.8386890264197991)"
PA Projection,0.12318622,"(0.9198438528337536, 0.9146800955150886, 0.9250076101524186)",0.8591484816114756,0.8587602604019247,"(0.8505153698985808, 0.867360764450807)","(0.8468862927881113, 0.8698549096420528)"
Oblique Projection,0.104233805,"(0.9321917808219178, 0.8826805118920759, 0.9817030497517597)",0.9178082191780822,0.9,"(0.8320560452006283, 0.9617862495212951)","(0.6989663547715127, 0.9721335187862319)"
